date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-03-27 00:00:00,459.3,458.8,457.6,458.9,221256.0,10153535.4,53396.0,38798.0,3148.0
2019-03-28 00:00:00,458.0,453.2,459.0,456.9,296536.0,13548296.68,55044.0,40172.0,2532.0
2019-03-29 00:00:00,464.1,457.9,455.2,452.8,308818.0,13984008.62,51900.0,36078.0,2526.0
2019-04-01 00:00:00,461.1,461.1,459.3,459.3,250876.0,11524496.34,47664.0,33716.0,33716.0
2019-04-02 00:00:00,470.2,470.2,466.5,466.5,323910.0,15111100.1,54994.0,39900.0,39900.0
2019-04-03 00:00:00,472.4,472.4,471.3,471.3,265576.0,12517105.12,58308.0,42392.0,42392.0
2019-04-04 00:00:00,469.0,469.0,469.7,469.7,294890.0,13850706.24,56038.0,39220.0,39220.0
2019-04-08 00:00:00,476.1,476.1,477.9,477.9,96292.0,4601772.14,59190.0,39960.0,39960.0
2019-04-09 00:00:00,478.2,478.2,478.9,478.9,287292.0,13759303.84,61826.0,39856.0,39856.0
2019-04-10 00:00:00,475.7,475.7,475.7,475.7,281310.0,13383456.22,60728.0,37900.0,37900.0
2019-04-11 00:00:00,480.1,480.1,479.4,479.4,271776.0,13030212.58,62110.0,37354.0,37354.0
2019-04-12 00:00:00,475.2,475.2,476.5,476.5,268318.0,12785825.06,59762.0,32954.0,32954.0
2019-04-15 00:00:00,471.8,471.8,473.8,473.8,277844.0,13165227.4,60830.0,30204.0,30204.0
2019-04-16 00:00:00,465.6,465.6,468.3,468.3,296718.0,13909657.08,60604.0,26174.0,26174.0
2019-04-17 00:00:00,472.1,476.3,469.7,473.4,266678.0,12548679.56,58976.0,36372.0,20142.0
2019-04-18 00:00:00,474.7,472.6,471.7,474.0,299028.0,14146190.72,54654.0,43902.0,8166.0
2019-04-19 00:00:00,476.7,475.9,473.5,474.5,191260.0,9076492.96,56798.0,47534.0,6558.0
2019-04-22 00:00:00,487.0,490.2,482.5,486.2,227722.0,11072852.16,58860.0,50252.0,5786.0
2019-04-23 00:00:00,494.2,498.3,488.9,493.5,262646.0,12961892.2,60780.0,52238.0,5510.0
2019-04-24 00:00:00,491.0,497.0,492.3,497.8,251110.0,12500865.72,60116.0,51580.0,5370.0
2019-04-25 00:00:00,500.9,505.9,494.8,500.6,312570.0,15647994.0,59992.0,51094.0,5322.0
2019-04-26 00:00:00,494.5,498.0,495.9,503.6,245890.0,12382709.82,58018.0,47170.0,5194.0
2019-04-29 00:00:00,479.0,482.8,480.3,485.9,416782.0,20254046.12,52822.0,40358.0,5094.0
2019-04-30 00:00:00,498.9,487.6,482.4,485.3,249340.0,12100526.8,50066.0,36922.0,5006.0
2019-05-06 00:00:00,472.0,472.0,471.7,471.7,105634.0,4981848.98,43938.0,34552.0,34552.0
2019-05-07 00:00:00,485.2,485.2,482.5,482.5,271720.0,13110084.16,46336.0,34914.0,34914.0
2019-05-08 00:00:00,482.3,482.3,479.4,479.4,321662.0,15421466.24,47182.0,33732.0,33732.0
2019-05-09 00:00:00,481.7,481.7,482.1,482.1,336392.0,16216094.06,48346.0,33014.0,33014.0
2019-05-10 00:00:00,487.7,487.7,485.5,485.5,349696.0,16975848.32,48752.0,31760.0,31760.0
2019-05-13 00:00:00,496.8,496.8,490.8,490.8,278530.0,13670443.36,54386.0,33738.0,33738.0
2019-05-14 00:00:00,496.3,496.3,499.8,499.8,420658.0,21023097.42,56724.0,32438.0,32438.0
2019-05-15 00:00:00,500.9,500.9,500.9,500.9,276524.0,13844834.52,59262.0,33672.0,33672.0
2019-05-16 00:00:00,506.5,506.5,504.6,504.6,299574.0,15114636.2,60752.0,31598.0,31598.0
2019-05-17 00:00:00,512.0,512.0,511.7,511.7,299332.0,15308507.84,58636.0,27884.0,27884.0
2019-05-20 00:00:00,520.5,520.5,513.5,513.5,285338.0,14647106.3,61652.0,24694.0,24694.0
2019-05-21 00:00:00,509.6,508.9,508.4,509.1,347964.0,17705021.66,50146.0,35278.0,8864.0
2019-05-22 00:00:00,499.0,504.7,506.2,506.6,229690.0,11635888.28,52374.0,38154.0,7898.0
2019-05-23 00:00:00,491.0,493.0,496.7,498.5,265088.0,13215486.72,53016.0,38786.0,7678.0
2019-05-24 00:00:00,468.3,472.5,470.2,472.4,424224.0,20039290.96,48848.0,35930.0,6308.0
2019-05-27 00:00:00,470.2,469.7,470.8,470.7,339772.0,15994600.2,49482.0,32662.0,6236.0
2019-05-28 00:00:00,462.1,476.9,471.6,475.1,241964.0,11495924.36,51242.0,32918.0,6176.0
2019-05-29 00:00:00,469.7,473.8,471.8,475.7,272816.0,12977081.86,54024.0,33670.0,6166.0
2019-05-30 00:00:00,470.0,476.1,468.7,471.6,341834.0,16120232.9,55004.0,32384.0,5784.0
2019-05-31 00:00:00,450.0,447.7,450.0,462.0,403424.0,18629280.22,61420.0,33298.0,5624.0
2019-06-03 00:00:00,429.6,429.6,439.0,439.0,335880.0,14740111.32,57218.0,32942.0,32942.0
2019-06-04 00:00:00,422.5,422.5,427.2,427.2,378474.0,16173527.22,60596.0,34888.0,34888.0
2019-06-05 00:00:00,425.0,425.0,425.2,425.2,397726.0,16916398.74,62766.0,35354.0,35354.0
2019-06-06 00:00:00,416.2,416.2,417.6,417.6,454658.0,18992288.38,60950.0,33388.0,33388.0
2019-06-10 00:00:00,434.8,434.8,434.2,434.2,103692.0,4504427.78,60952.0,32728.0,32728.0
2019-06-11 00:00:00,431.0,431.0,430.3,430.3,382962.0,16483632.96,61538.0,32934.0,32934.0
2019-06-12 00:00:00,423.0,423.0,427.3,427.3,334016.0,14277642.68,62820.0,32692.0,32692.0
2019-06-13 00:00:00,427.7,427.7,422.0,422.0,454100.0,19173560.4,64902.0,31752.0,31752.0
2019-06-14 00:00:00,425.7,425.7,426.3,426.3,382550.0,16313223.22,64432.0,29220.0,29220.0
2019-06-17 00:00:00,426.0,426.0,427.4,427.4,319928.0,13678273.56,69042.0,23762.0,23762.0
2019-06-18 00:00:00,408.1,413.5,420.4,419.9,335166.0,14080106.74,65632.0,47994.0,7768.0
2019-06-19 00:00:00,419.6,424.8,418.1,425.2,405320.0,17234279.3,64728.0,47896.0,6662.0
2019-06-20 00:00:00,425.8,433.0,420.2,425.7,485722.0,20680357.26,65974.0,50544.0,4334.0
2019-06-21 00:00:00,431.9,439.5,427.7,438.2,456030.0,19983291.02,61136.0,46746.0,2260.0
2019-06-24 00:00:00,441.0,447.6,437.9,445.1,332232.0,14788399.64,60200.0,46530.0,1762.0
2019-06-25 00:00:00,432.0,440.0,432.6,441.1,377498.0,16652938.9,57028.0,42486.0,1696.0
2019-06-26 00:00:00,442.2,450.1,434.7,445.0,364590.0,16223958.42,59064.0,40604.0,1282.0
2019-06-27 00:00:00,441.4,447.9,438.7,451.0,380936.0,17177589.3,60150.0,38740.0,1272.0
2019-06-28 00:00:00,441.4,443.5,441.3,448.1,292528.0,13109362.62,59050.0,36602.0,892.0
2019-07-01 00:00:00,451.6,451.6,447.1,447.1,326404.0,14598603.72,59170.0,35960.0,35960.0
2019-07-02 00:00:00,444.2,444.2,443.0,443.0,394020.0,17459634.38,60506.0,35584.0,35584.0
2019-07-03 00:00:00,427.7,427.7,432.0,432.0,459524.0,19863811.42,67080.0,37454.0,37454.0
2019-07-04 00:00:00,430.4,430.4,431.1,431.1,396744.0,17113289.72,60264.0,32044.0,32044.0
2019-07-05 00:00:00,432.1,432.1,431.3,431.3,215908.0,9317378.92,58492.0,30448.0,30448.0
2019-07-08 00:00:00,441.7,441.7,438.0,438.0,314914.0,13799427.34,59444.0,31084.0,31084.0
2019-07-09 00:00:00,441.3,441.3,444.3,444.3,319390.0,14193229.02,60622.0,30482.0,30482.0
2019-07-10 00:00:00,443.8,443.8,441.6,441.6,268700.0,11871250.38,60882.0,30156.0,30156.0
2019-07-11 00:00:00,461.6,461.6,454.3,454.3,354600.0,16113607.26,68170.0,33338.0,33338.0
2019-07-12 00:00:00,458.2,458.2,458.2,458.2,269358.0,12346314.0,65878.0,31092.0,31092.0
2019-07-15 00:00:00,454.5,454.5,454.9,454.9,237366.0,10801764.88,64168.0,29374.0,29374.0
2019-07-16 00:00:00,451.6,454.9,454.1,455.8,303512.0,13789214.9,65704.0,33636.0,27498.0
2019-07-17 00:00:00,436.2,441.5,445.4,448.4,320052.0,14274410.5,68674.0,37294.0,26012.0
2019-07-18 00:00:00,430.5,437.0,435.0,440.1,334754.0,14610038.08,70580.0,41650.0,23120.0
